id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
126430,kucycads,Kenneth Bader,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/178904/medium.JPG,34.1277897489,-77.9967930795,Sarracenia rubra,sweet pitcher plant,52648,Sarraceniaceae
245844,kylejones,Kyle Jones,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/307345/medium.jpg,34.288,-77.752,Aesculus pavia,Red Buckeye,81708,Sapindaceae
245846,kylejones,Kyle Jones,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/307348/medium.jpg,34.2916666667,-77.7491666667,Salvia lyrata,lyreleaf sage,64093,Lamiaceae
304973,arleigh,Arleigh Birchler,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/378546/medium.JPG,33.964501,-77.921538,Uniola paniculata,sea oats,126303,Poaceae
305119,arleigh,Arleigh Birchler,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/378731/medium.JPG,33.964398,-77.921592,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
305133,arleigh,Arleigh Birchler,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/378759/medium.JPG,33.964496,-77.921635,Trichostema nesophilum,dune bluecurls,955709,Lamiaceae
307182,arleigh,Arleigh Birchler,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/381046/medium.JPG,34.047255,-77.911777,Quercus laevis,American turkey oak,128752,Fagaceae
307187,arleigh,Arleigh Birchler,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/381059/medium.JPG,34.045832,-77.910748,Cnidoscolus stimulosus,spurge nettle,160765,Euphorbiaceae
307232,arleigh,Arleigh Birchler,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/381120/medium.JPG,34.04697,-77.908344,Vaccinium arboreum,sparkleberry,81818,Ericaceae
307687,arleigh,Arleigh Birchler,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/381684/medium.JPG,34.345668,-77.880814,Sabal minor,Dwarf Palmetto,81804,Arecaceae
721678,denniswross,Dennis,CC-BY,http://static.inaturalist.org/photos/907185/medium.JPG,34.269375,-77.744493,Tamarix,Tamarisks,51305,Tamaricaceae
1052275,gbentall,Gena Bentall,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1319903/medium.JPG,34.1995528345,-77.9365371229,Sarracenia flava,yellow pitcher plant,81900,Sarraceniaceae
1158761,rhexia,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1460967/medium.jpg,34.154321,-77.926321,Gordonia lasianthus,Loblolly bay,81921,Theaceae
1459518,stbuckley,Steve Buckley,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1809711/medium.jpg,34.1144069604,-77.9968183468,Sarracenia flava,yellow pitcher plant,81900,Sarraceniaceae
1578562,spartina,"",,http://static.inaturalist.org/photos/1950640/medium.jpg,34.038075,-77.91309,Polygala lutea,orange milkwort,129197,Polygalaceae
1648448,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2034801/medium.jpg,34.047673,-77.906998,Diospyros virginiana,common persimmon,83435,Ebenaceae
1648449,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2034804/medium.jpg,34.048352,-77.913348,Phyla nodiflora,turkey tangle frogfruit,59040,Verbenaceae
1648450,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2022247/medium.jpg,34.048358,-77.905883,Morella cerifera,wax myrtle,119956,Myricaceae
1839104,gbentall,Gena Bentall,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2234143/medium.JPG,34.0611562901,-77.9219639998,Pinguicula,Butterworts,72300,Lentibulariaceae
1951731,rhexia,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2391385/medium.jpg,34.22951491,-77.86550788,Strophostyles helvola,trailing fuzzy-bean,204420,Fabaceae
1951763,rhexia,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2391418/medium.jpg,34.22947926,-77.86550096,Chamaecrista nictitans,sensitive pea,131568,Fabaceae
1972206,rhexia,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2416785/medium.jpg,34.17754599,-77.90624607,Quercus geminata,sand live oak,121402,Fagaceae
2375066,nature_hunter,Hunter Phillips,,http://static.inaturalist.org/photos/2645423/medium.JPG,34.21407,-77.829493,Quercus virginiana,southern live oak,49013,Fagaceae
2495126,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801336/medium.JPG,34.045936,-77.913889,Drosera capillaris,Pink Sundew,162094,Droseraceae
2495134,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801345/medium.JPG,34.1914213533,-77.8151636056,Sarracenia flava,yellow pitcher plant,81900,Sarraceniaceae
2495138,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801350/medium.JPG,34.045936,-77.913889,Carex elliottii,Elliott's Sedge,159943,Cyperaceae
2495153,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801369/medium.JPG,34.045936,-77.913889,Lyonia lucida,fetterbush lyonia,129433,Ericaceae
2495154,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801370/medium.JPG,34.1368040033,-77.9749257341,Dionaea muscipula,Venus flytrap,52666,Droseraceae
2495161,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801377/medium.JPG,34.045936,-77.913889,Mitchella repens,partridgeberry,83799,Rubiaceae
2495163,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801379/medium.JPG,34.045936,-77.913889,Drosera intermedia,spoonleaf sundew,53038,Droseraceae
2495177,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801393/medium.JPG,34.045936,-77.913889,Smilax auriculata,Earleaf Greenbrier,127910,Smilacaceae
2495182,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801401/medium.JPG,34.045936,-77.913889,Quercus laevis,American turkey oak,128752,Fagaceae
2495187,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801407/medium.JPG,34.045936,-77.913889,Vaccinium stamineum,deerberry,67792,Ericaceae
2495191,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801412/medium.JPG,34.045936,-77.913889,Euphorbia ipecacuanhae,Carolina ipecac,162834,Euphorbiaceae
2495195,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801418/medium.JPG,34.045936,-77.913889,Cnidoscolus stimulosus,spurge nettle,160765,Euphorbiaceae
2495225,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801452/medium.JPG,34.045936,-77.913889,Quercus geminata,sand live oak,121402,Fagaceae
2495266,reallifeecology,Jonathan (JC) Carpenter,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2801496/medium.JPG,34.045936,-77.913889,Lonicera sempervirens,coral honeysuckle,119809,Caprifoliaceae
3172014,j_thompson,Jeff Thompson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3668426/medium.jpg,34.0474678343,-77.9080923927,Cnidoscolus stimulosus,spurge nettle,160765,Euphorbiaceae
3172253,j_thompson,Jeff Thompson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3668675/medium.jpg,34.0457456047,-77.9148417526,Lyonia mariana,staggerbush,164989,Ericaceae
3172562,j_thompson,Jeff Thompson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3669096/medium.jpg,34.0460017138,-77.9138771632,Callisia graminea,Grassleaf Roseling,159679,Commelinaceae
3172608,j_thompson,Jeff Thompson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3669156/medium.jpg,34.1676793914,-77.8937397003,Sarracenia flava,yellow pitcher plant,81900,Sarraceniaceae
3172655,j_thompson,Jeff Thompson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3669211/medium.jpg,34.0467476193,-77.9132557289,Drosera capillaris,Pink Sundew,162094,Droseraceae
3172676,j_thompson,Jeff Thompson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3669241/medium.jpg,34.0476490092,-77.913220944,Spiranthes,Ladies'-tresses,50741,Orchidaceae
3218788,jmarchal,Jonathan Marchal,,http://static.inaturalist.org/photos/3726686/medium.jpg,34.0474861667,-77.9132833333,Eupatorium capillifolium,dogfennel,131154,Asteraceae
3218802,jmarchal,Jonathan Marchal,,http://static.inaturalist.org/photos/3726711/medium.jpg,34.045936,-77.913889,Polygala lutea,orange milkwort,129197,Polygalaceae
3218818,jmarchal,Jonathan Marchal,,http://static.inaturalist.org/photos/3726753/medium.jpg,34.1078250115,-77.8881543474,Sarracenia flava,yellow pitcher plant,81900,Sarraceniaceae
3218843,jmarchal,Jonathan Marchal,,http://static.inaturalist.org/photos/3726787/medium.jpg,34.045936,-77.913889,Drosera capillaris,Pink Sundew,162094,Droseraceae
3218850,jmarchal,Jonathan Marchal,,http://static.inaturalist.org/photos/3726794/medium.jpg,34.1207194438,-77.9110583542,Spiranthes praecox,Grass-leaved Ladies' Tresses,128771,Orchidaceae
3218923,jmarchal,Jonathan Marchal,,http://static.inaturalist.org/photos/3726891/medium.jpg,34.0473945,-77.9135966667,Pterocaulon pycnostachyum,Dense-spike Blackroot,127267,Asteraceae
3242858,hope-labriola,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3753021/medium.jpg,33.9930734668,-77.9064276499,Gaillardia pulchella,Indian blanket,51768,Asteraceae
3748452,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/4360836/medium.jpeg,34.1935307117,-77.8063559532,Ipomoea cordatotriloba,Tievine,135263,Convolvulaceae
3748453,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/4360849/medium.jpeg,34.1935307117,-77.8063559532,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
3748456,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/4360855/medium.jpeg,34.1935307117,-77.8063559532,Portulaca amilis,Paraguayan Purslane,127899,Portulacaceae
